strata	time	status	replica	nFlies	timeHours
y, w; attP, y+, w ♀ × HR-Gal4 ♂	118	1	D4	15	12:30pm
y, w; attP, y+, w ♀ × HR-Gal4 ♂	118	1	D4	15	12:30pm
y, w; attP, y+, w ♀ × HR-Gal4 ♂	118	1	D4	15	12:30pm
y, w; attP, y+, w ♀ × HR-Gal4 ♂	28	1	D5	10	12:30pm
y, w; attP, y+, w ♀ × HR-Gal4 ♂	68	1	D5	10	12:30pm
y, w; attP, y+, w ♀ × HR-Gal4 ♂	82	1	D5	10	12:30pm
y, w; attP, y+, w ♀ × HR-Gal4 ♂	82	1	D5	10	12:30pm
y, w; attP, y+, w ♀ × HR-Gal4 ♂	82	1	D5	10	12:30pm
y, w; attP, y+, w ♀ × HR-Gal4 ♂	82	1	D5	10	12:30pm
y, w; attP, y+, w ♀ × HR-Gal4 ♂	91	1	D5	10	12:30pm
y, w; attP, y+, w ♀ × HR-Gal4 ♂	102	1	D5	10	12:30pm
y, w; attP, y+, w ♀ × HR-Gal4 ♂	118	1	D5	10	12:30pm
y, w; attP, y+, w ♀ × HR-Gal4 ♂	118	1	D5	10	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	28	1	D1	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D1	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D1	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D1	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	36	1	D1	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	36	1	D1	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	36	1	D1	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	36	1	D1	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	44	1	D1	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	44	1	D1	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	48	1	D1	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	61	1	D1	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	68	1	D1	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	82	1	D1	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	82	1	D1	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D2	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D2	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D2	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D2	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D2	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	36	1	D2	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	36	1	D2	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	61	1	D2	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	61	1	D2	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	68	1	D2	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	76	1	D2	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	82	1	D2	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	82	1	D2	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	91	1	D2	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	118	1	D2	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D3	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D3	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D3	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	36	1	D3	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	48	1	D3	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	48	1	D3	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	76	1	D3	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	76	1	D3	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	82	1	D3	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	82	1	D3	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	82	1	D3	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	82	1	D3	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	82	1	D3	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	91	1	D3	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	102	1	D3	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D4	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D4	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D4	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D4	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	32	1	D4	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	36	1	D4	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	36	1	D4	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	44	1	D4	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	61	1	D4	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	82	1	D4	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	82	1	D4	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	82	1	D4	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	82	1	D4	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	102	1	D4	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	102	1	D4	15	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	24	1	D5	13	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	24	1	D5	13	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	36	1	D5	13	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	36	1	D5	13	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	55	1	D5	13	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	76	1	D5	13	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	76	1	D5	13	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	76	1	D5	13	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	82	1	D5	13	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	82	1	D5	13	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	91	1	D5	13	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	102	1	D5	13	12:30pm
CG11594 RNAi ♀ × HR-Gal4 ♂	102	1	D5	13	12:30pm
